step,ram
0,516.26953125
1,544.73046875
2,539.0390625
3,549.3984375
4,573.0234375
5,600.2109375
6,621.41796875
7,645.1796875
8,669.59765625
9,693.88671875
10,717.12109375
11,739.55078125
12,761.765625
13,781.01953125
14,799.5625
15,816.7734375
16,832.59375
17,847.13671875
18,859.859375
19,871.375
20,880.21484375
21,888.4296875
22,894.27734375
23,898.5703125
24,901.07421875
25,901.9375
26,900.8203125
27,897.859375
28,893.21875
29,887.73046875
30,878.0390625
31,868.265625
32,856.7421875
33,843.96484375
34,829.24609375
35,813.09765625
36,795.453125
37,776.0
38,755.84375
39,733.9375
40,711.65625
41,688.55078125
42,663.6015625
43,637.56640625
44,611.41796875
45,584.6875
46,557.41015625
47,529.3515625
48,501.3671875
49,473.04296875
50,444.63671875
51,416.2578125
52,388.0625
53,360.08984375
54,332.46875
55,305.328125
56,278.765625
57,252.8984375
58,227.8203125
59,203.63671875
60,180.44140625
61,158.328125
62,137.38671875
63,117.6953125
64,99.39453125
65,82.48046875
66,67.0
67,53.0546875
68,40.6953125
69,29.98046875
70,20.9453125
71,13.671875
72,19.72265625
73,19.72265625
74,19.72265625
75,19.72265625
76,19.72265625
77,19.72265625
78,19.72265625
79,36.0078125
80,61.54296875
81,38.1015625
82,50.05078125
83,63.60546875
84,78.70703125
85,95.296875
86,113.3125
87,132.67578125
88,153.3125
89,175.14453125
90,198.078125
91,222.0234375
92,246.88671875
93,272.578125
94,298.9765625
95,325.984375
96,353.4921875
97,381.39453125
98,409.58203125
99,437.9375
100,466.34765625
101,494.703125
102,522.890625
103,550.54296875
104,578.06640625
105,605.0234375
106,631.296875
107,656.8984375
108,681.5390625
109,706.39453125
110,729.16796875
111,750.44140625
112,771.05078125
113,790.3984375
114,808.3828125
115,825.73828125
116,840.11328125
117,853.4765625
118,865.82421875
119,876.1875
120,884.859375
121,891.74609375
122,897.046875
123,900.16015625
124,871.328125
125,902.0078125
126,899.4296875
127,895.44921875
128,889.81640625
129,882.3984375
130,873.46875
131,862.9765625
132,850.94921875
133,836.6484375
134,822.23046875
135,803.8203125
136,785.703125
137,766.5625
138,745.50390625
139,723.26171875
140,699.796875
141,675.4609375
142,650.39453125
143,624.71875
144,598.49609375
145,570.97265625
146,543.43359375
147,515.3828125
148,487.1484375
149,458.890625
150,430.484375
151,402.16015625
152,374.03515625
153,346.21875
154,318.82421875
155,291.9609375
156,265.73046875
157,240.24609375
158,215.60546875
159,191.90234375
160,169.23828125
161,147.69921875
162,127.37109375
163,108.33984375
164,90.67578125
165,74.44921875
166,59.73046875
167,46.5703125
168,35.02734375
169,25.19140625
170,40.19140625
171,40.19140625
172,40.19140625
173,40.19140625
174,40.19140625
175,40.19140625
176,40.19140625
177,40.19140625
178,40.19140625
179,47.5390625
180,78.0625
181,47.69140625
182,102.19921875
183,116.53125
184,132.38671875
185,149.69921875
186,168.39453125
187,188.40625
188,209.6484375
189,232.04296875
190,255.4921875
191,279.91015625
192,305.19140625
193,331.24609375
194,357.9609375
195,385.234375
196,412.953125
197,441.01171875
198,469.296875
199,497.6953125
